Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,16,0.31,0.31,0.3995717528268397
75% Corpus,16,0.31,0.61,0.4638089485965814
75% Corpus,16,0.31,0.9099999999999999,0.4144302895788458
75% Corpus,16,0.31,symmetric,0.3948681905723393
75% Corpus,16,0.61,0.01,0.3877152756822828
75% Corpus,16,0.61,0.31,0.4024034126750105
75% Corpus,16,0.61,0.61,0.4353495851698839
75% Corpus,16,0.61,0.9099999999999999,0.4482976424437072
75% Corpus,16,0.61,symmetric,0.4227699201748276
75% Corpus,16,0.9099999999999999,0.01,0.384451953631173
75% Corpus,16,0.9099999999999999,0.31,0.4082136041230635
75% Corpus,16,0.9099999999999999,0.61,0.3795401364389146
75% Corpus,16,0.9099999999999999,0.9099999999999999,0.3472159300059246
75% Corpus,16,0.9099999999999999,symmetric,0.3876021957238814
75% Corpus,16,symmetric,0.01,0.367387495318786
75% Corpus,16,symmetric,0.31,0.4103361930781496
75% Corpus,16,symmetric,0.61,0.4186568671935032
75% Corpus,16,symmetric,0.9099999999999999,0.3766789797321198
75% Corpus,16,symmetric,symmetric,0.3852705625785885
75% Corpus,16,asymmetric,0.01,0.3756184245518181
75% Corpus,16,asymmetric,0.31,0.4139351658760596
75% Corpus,16,asymmetric,0.61,0.4825919248679733
75% Corpus,16,asymmetric,0.9099999999999999,0.4756312416689991
75% Corpus,16,asymmetric,symmetric,0.4038712676024185
75% Corpus,17,0.01,0.01,0.3636935599531479
75% Corpus,17,0.01,0.31,0.377344704549639
75% Corpus,17,0.01,0.61,0.3983281621409353
75% Corpus,17,0.01,0.9099999999999999,0.4138661677764868
75% Corpus,17,0.01,symmetric,0.3446551559345123
75% Corpus,17,0.31,0.01,0.342260405249286
75% Corpus,17,0.31,0.31,0.3585542108580841
75% Corpus,17,0.31,0.61,0.3993865971895989
75% Corpus,17,0.31,0.9099999999999999,0.433186654030351
75% Corpus,17,0.31,symmetric,0.3811761478721754
75% Corpus,17,0.61,0.01,0.3660026885691873
75% Corpus,17,0.61,0.31,0.4385614113282253
75% Corpus,17,0.61,0.61,0.4774266946737596
75% Corpus,17,0.61,0.9099999999999999,0.4739570745228662
75% Corpus,17,0.61,symmetric,0.3830638603450257
75% Corpus,17,0.9099999999999999,0.01,0.370059580564946
75% Corpus,17,0.9099999999999999,0.31,0.4352692009345766
75% Corpus,17,0.9099999999999999,0.61,0.4012561784638857
75% Corpus,17,0.9099999999999999,0.9099999999999999,0.3512272147122888
75% Corpus,17,0.9099999999999999,symmetric,0.3814872714682571
75% Corpus,17,symmetric,0.01,0.3619343825640985
75% Corpus,17,symmetric,0.31,0.3638521957034216
75% Corpus,17,symmetric,0.61,0.4137685527501986
75% Corpus,17,symmetric,0.9099999999999999,0.4591292965992621
75% Corpus,17,symmetric,symmetric,0.3315526907476819
75% Corpus,17,asymmetric,0.01,0.3786708397123891
75% Corpus,17,asymmetric,0.31,0.3714218999853115
75% Corpus,17,asymmetric,0.61,0.44037577368608
75% Corpus,17,asymmetric,0.9099999999999999,0.4114204625838013
75% Corpus,17,asymmetric,symmetric,0.3894544877911133
75% Corpus,18,0.01,0.01,0.3784729986688824
75% Corpus,18,0.01,0.31,0.4454085984180758
75% Corpus,18,0.01,0.61,0.3952029071951478
75% Corpus,18,0.01,0.9099999999999999,0.4312916386029226
75% Corpus,18,0.01,symmetric,0.3823715526843284
75% Corpus,18,0.31,0.01,0.3819999454993562
75% Corpus,18,0.31,0.31,0.429774560847427
